cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-25T02:45:28.951592,frontend,46.21,5.0669,0.0
1,2026-05-25T02:45:28.951592,productcatalogservice,2.28,29.3134,0.0
1,2026-05-25T02:45:28.951592,checkoutservice,24.25,0.2222,0.0
1,2026-05-25T02:45:28.951592,cartservice,4.8,5.0671,0.0
1,2026-05-25T02:45:28.951592,recommendationservice,4.95,3.5558,0.0
2,2026-05-25T02:45:59.354503,frontend,47.42,5.8227,0.0
2,2026-05-25T02:45:59.354503,productcatalogservice,3.1,33.0035,0.0
2,2026-05-25T02:45:59.354503,checkoutservice,24.25,0.4223,0.0
2,2026-05-25T02:45:59.354503,cartservice,4.83,6.0452,0.0
2,2026-05-25T02:45:59.354503,recommendationservice,6.86,4.067,0.0
3,2026-05-25T02:46:29.675243,frontend,48.26,5.8449,0.0
3,2026-05-25T02:46:29.675243,productcatalogservice,3.32,32.159,0.0
3,2026-05-25T02:46:29.675243,checkoutservice,24.25,0.4445,0.0
3,2026-05-25T02:46:29.675243,cartservice,4.81,6.1339,0.0
3,2026-05-25T02:46:29.675243,recommendationservice,5.98,4.2004,0.0
4,2026-05-25T02:47:00.130830,frontend,49.16,5.5559,0.0
4,2026-05-25T02:47:00.130830,productcatalogservice,3.17,29.8696,0.0
4,2026-05-25T02:47:00.130830,checkoutservice,24.25,0.2667,0.0
4,2026-05-25T02:47:00.130830,cartservice,4.78,5.4006,0.0
4,2026-05-25T02:47:00.130830,recommendationservice,4.96,3.9338,0.0
5,2026-05-25T02:47:30.451981,frontend,47.07,5.2005,0.0
5,2026-05-25T02:47:30.451981,productcatalogservice,3.04,26.7138,0.0
5,2026-05-25T02:47:30.451981,checkoutservice,24.25,0.0889,0.0
5,2026-05-25T02:47:30.451981,cartservice,4.78,4.9117,0.0
5,2026-05-25T02:47:30.451981,recommendationservice,4.9,3.4893,0.0
6,2026-05-25T02:48:00.799545,frontend,45.35,4.8004,0.0
6,2026-05-25T02:48:00.799545,productcatalogservice,3.36,25.0247,0.0
6,2026-05-25T02:48:00.799545,checkoutservice,24.25,0.1778,0.0
6,2026-05-25T02:48:00.799545,cartservice,4.82,4.5783,0.0
6,2026-05-25T02:48:00.799545,recommendationservice,5.19,3.3559,0.0
7,2026-05-25T02:48:31.177116,frontend,49.81,5.4229,0.0
7,2026-05-25T02:48:31.177116,productcatalogservice,3.12,28.3368,0.0
7,2026-05-25T02:48:31.177116,checkoutservice,24.25,0.2222,0.0
7,2026-05-25T02:48:31.177116,cartservice,4.8,5.2006,0.0
7,2026-05-25T02:48:31.177116,recommendationservice,4.97,3.7782,0.0
8,2026-05-25T02:49:01.520614,frontend,52.5,4.8894,0.0
8,2026-05-25T02:49:01.520614,productcatalogservice,3.01,26.1807,0.0
8,2026-05-25T02:49:01.520614,checkoutservice,24.25,0.0889,0.0
8,2026-05-25T02:49:01.520614,cartservice,4.8,4.8005,0.0
8,2026-05-25T02:49:01.520614,recommendationservice,5.53,3.4893,0.0
9,2026-05-25T02:49:31.889283,frontend,42.9,5.4673,0.0
9,2026-05-25T02:49:31.889283,productcatalogservice,2.62,31.026,0.0
9,2026-05-25T02:49:31.889283,checkoutservice,24.25,0.1778,0.0
9,2026-05-25T02:49:31.889283,cartservice,4.78,5.2007,0.0
9,2026-05-25T02:49:31.889283,recommendationservice,4.91,4.1338,0.0
10,2026-05-25T02:50:02.215217,frontend,42.81,5.7117,0.0
10,2026-05-25T02:50:02.215217,productcatalogservice,2.26,31.1812,0.0
10,2026-05-25T02:50:02.215217,checkoutservice,44.37,0.2222,0.0
10,2026-05-25T02:50:02.215217,cartservice,4.78,5.5562,0.0
10,2026-05-25T02:50:02.215217,recommendationservice,4.82,4.1116,0.0
11,2026-05-25T02:50:32.555138,frontend,45.5,5.9118,0.0
11,2026-05-25T02:50:32.555138,productcatalogservice,2.41,29.5145,0.0
