cycle,timestamp,phase,service,from_replicas,to_replicas,direction
25,2026-05-26T01:37:09.695915,BASELINE,checkoutservice,4,5,SCALE_UP
34,2026-05-26T01:44:07.055285,BASELINE,checkoutservice,5,4,SCALE_DOWN
34,2026-05-26T01:44:07.055285,BASELINE,recommendationservice,1,2,SCALE_UP
40,2026-05-26T01:50:38.939964,BASELINE,checkoutservice,4,5,SCALE_UP
40,2026-05-26T01:50:38.939964,BASELINE,recommendationservice,2,4,SCALE_UP
56,2026-05-26T02:05:45.883479,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
56,2026-05-26T02:05:45.883479,FAULT_INJECTION,recommendationservice,4,5,SCALE_UP
69,2026-05-26T02:15:12.856000,RECOVERY,frontend,5,4,SCALE_DOWN
69,2026-05-26T02:15:12.856000,RECOVERY,productcatalogservice,5,1,SCALE_DOWN
69,2026-05-26T02:15:12.856000,RECOVERY,checkoutservice,5,1,SCALE_DOWN
69,2026-05-26T02:15:12.856000,RECOVERY,recommendationservice,5,1,SCALE_DOWN
