cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
1,2026-05-26T01:16:28.603958,BASELINE,frontend,0.0,0.3719,0.0,5
1,2026-05-26T01:16:28.603958,BASELINE,productcatalogservice,342.33,8.5423,0.0,1
1,2026-05-26T01:16:28.603958,BASELINE,checkoutservice,4555.84,0.1178,0.0,4
1,2026-05-26T01:16:28.603958,BASELINE,cartservice,238.97,1.3155,0.0,1
1,2026-05-26T01:16:28.603958,BASELINE,recommendationservice,1259.25,1.0487,0.0,1
2,2026-05-26T01:17:38.252787,BASELINE,frontend,4842.46,3.1762,0.0,5
2,2026-05-26T01:17:38.252787,BASELINE,productcatalogservice,193.75,18.0954,0.0,1
2,2026-05-26T01:17:38.252787,BASELINE,checkoutservice,nan,0.0264,0.0,4
2,2026-05-26T01:17:38.252787,BASELINE,cartservice,260.23,3.7943,0.0,1
2,2026-05-26T01:17:38.252787,BASELINE,recommendationservice,875.55,2.9391,0.0,1
3,2026-05-26T01:18:36.623012,BASELINE,frontend,4725.03,3.1006,0.0,5
3,2026-05-26T01:18:36.623012,BASELINE,productcatalogservice,365.62,18.0437,0.0,1
3,2026-05-26T01:18:36.623012,BASELINE,checkoutservice,487.5,0.0223,0.0,4
3,2026-05-26T01:18:36.623012,BASELINE,cartservice,404.6,3.2091,0.0,1
3,2026-05-26T01:18:36.623012,BASELINE,recommendationservice,1449.35,2.3882,0.0,1
4,2026-05-26T01:19:33.658503,BASELINE,frontend,4763.81,3.5949,0.0,5
4,2026-05-26T01:19:33.658503,BASELINE,productcatalogservice,238.01,18.4723,0.0,1
4,2026-05-26T01:19:33.658503,BASELINE,checkoutservice,975.0,0.0892,0.0,4
4,2026-05-26T01:19:33.658503,BASELINE,cartservice,406.32,3.5925,0.0,1
4,2026-05-26T01:19:33.658503,BASELINE,recommendationservice,953.26,2.4872,0.0,1
5,2026-05-26T01:20:26.678944,BASELINE,frontend,4340.24,3.9161,0.0,5
5,2026-05-26T01:20:26.678944,BASELINE,productcatalogservice,242.51,18.9938,0.0,1
5,2026-05-26T01:20:26.678944,BASELINE,checkoutservice,4035.28,0.1783,0.0,4
5,2026-05-26T01:20:26.678944,BASELINE,cartservice,267.83,3.9579,0.0,1
5,2026-05-26T01:20:26.678944,BASELINE,recommendationservice,802.31,2.7694,0.0,1
6,2026-05-26T01:21:19.777922,BASELINE,frontend,3209.02,3.8024,0.0,5
6,2026-05-26T01:21:19.777922,BASELINE,productcatalogservice,124.19,20.5158,0.0,1
6,2026-05-26T01:21:19.777922,BASELINE,checkoutservice,2274.99,0.0667,0.0,4
6,2026-05-26T01:21:19.777922,BASELINE,cartservice,224.25,3.6389,0.0,1
6,2026-05-26T01:21:19.777922,BASELINE,recommendationservice,496.32,2.6728,0.0,1
7,2026-05-26T01:22:10.330392,BASELINE,frontend,4555.95,3.4438,0.0,5
7,2026-05-26T01:22:10.330392,BASELINE,productcatalogservice,388.93,15.9854,0.0,1
7,2026-05-26T01:22:10.330392,BASELINE,checkoutservice,4741.6,0.0837,0.0,4
7,2026-05-26T01:22:10.330392,BASELINE,cartservice,452.07,3.3884,0.0,1
7,2026-05-26T01:22:10.330392,BASELINE,recommendationservice,921.72,2.3465,0.0,1
8,2026-05-26T01:23:15.686484,BASELINE,frontend,4171.85,4.1055,0.0,5
8,2026-05-26T01:23:15.686484,BASELINE,productcatalogservice,174.18,23.7058,0.0,1
8,2026-05-26T01:23:15.686484,BASELINE,checkoutservice,2211.88,0.1938,0.0,4
8,2026-05-26T01:23:15.686484,BASELINE,cartservice,277.76,4.3116,0.0,1
8,2026-05-26T01:23:15.686484,BASELINE,recommendationservice,862.33,3.1025,0.0,1
9,2026-05-26T01:24:03.502943,BASELINE,frontend,3352.83,4.3898,0.0,5
9,2026-05-26T01:24:03.502943,BASELINE,productcatalogservice,109.7,23.7087,0.0,1
9,2026-05-26T01:24:03.502943,BASELINE,checkoutservice,2307.5,0.1797,0.0,4
9,2026-05-26T01:24:03.502943,BASELINE,cartservice,216.82,4.2645,0.0,1
9,2026-05-26T01:24:03.502943,BASELINE,recommendationservice,425.27,3.4976,0.0,1
10,2026-05-26T01:24:58.185835,BASELINE,frontend,4139.69,4.1355,0.0,5
10,2026-05-26T01:24:58.185835,BASELINE,productcatalogservice,162.77,19.9898,0.0,1
10,2026-05-26T01:24:58.185835,BASELINE,checkoutservice,2349.97,0.2226,0.0,4
10,2026-05-26T01:24:58.185835,BASELINE,cartservice,409.0,3.9124,0.0,1
10,2026-05-26T01:24:58.185835,BASELINE,recommendationservice,864.79,2.7601,0.0,1
11,2026-05-26T01:25:47.831263,BASELINE,frontend,3711.42,3.6433,0.0,5
11,2026-05-26T01:25:47.831263,BASELINE,productcatalogservice,218.26,20.8969,0.0,1
11,2026-05-26T01:25:47.831263,BASELINE,checkoutservice,2375.03,0.1554,0.0,4
11,2026-05-26T01:25:47.831263,BASELINE,cartservice,341.81,3.8231,0.0,1
11,2026-05-26T01:25:47.831263,BASELINE,recommendationservice,797.36,2.888,0.0,1
12,2026-05-26T01:26:36.707099,BASELINE,frontend,2276.99,4.7171,0.0,5
12,2026-05-26T01:26:36.707099,BASELINE,productcatalogservice,82.76,23.4329,0.0,1
12,2026-05-26T01:26:36.707099,BASELINE,checkoutservice,2011.87,0.3116,0.0,4
12,2026-05-26T01:26:36.707099,BASELINE,cartservice,196.69,4.8245,0.0,1
12,2026-05-26T01:26:36.707099,BASELINE,recommendationservice,334.36,3.0843,0.0,1
13,2026-05-26T01:27:26.100764,BASELINE,frontend,2485.58,3.9939,0.0,5
13,2026-05-26T01:27:26.100764,BASELINE,productcatalogservice,151.76,23.0868,0.0,1
13,2026-05-26T01:27:26.100764,BASELINE,checkoutservice,2124.58,0.2228,0.0,4
13,2026-05-26T01:27:26.100764,BASELINE,cartservice,177.61,4.0607,0.0,1
13,2026-05-26T01:27:26.100764,BASELINE,recommendationservice,429.92,2.9631,0.0,1
14,2026-05-26T01:28:14.096955,BASELINE,frontend,4197.54,4.3324,0.0,5
14,2026-05-26T01:28:14.096955,BASELINE,productcatalogservice,117.97,23.7869,0.0,1
14,2026-05-26T01:28:14.096955,BASELINE,checkoutservice,2312.49,0.1334,0.0,4
