cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-21T01:44:15.519066,frontend,47.56,5.7338,0.0
1,2026-05-21T01:44:15.519066,productcatalogservice,3.33,289.5698,0.0
1,2026-05-21T01:44:15.519066,checkoutservice,36.79,1.7113,0.0
1,2026-05-21T01:44:15.519066,cartservice,4.8,57.1602,0.0
1,2026-05-21T01:44:15.519066,recommendationservice,5.22,36.514,0.0
2,2026-05-21T01:44:45.596903,frontend,59.37,5.2003,0.0
2,2026-05-21T01:44:45.596903,productcatalogservice,3.67,285.8109,0.0
2,2026-05-21T01:44:45.596903,checkoutservice,41.38,1.5557,0.0
2,2026-05-21T01:44:45.596903,cartservice,4.83,55.6488,0.0
2,2026-05-21T01:44:45.596903,recommendationservice,7.78,36.5362,0.0
3,2026-05-21T01:45:15.650670,frontend,45.32,5.2226,0.0
3,2026-05-21T01:45:15.650670,productcatalogservice,3.23,297.0211,0.0
3,2026-05-21T01:45:15.650670,checkoutservice,35.62,1.5557,0.0
3,2026-05-21T01:45:15.650670,cartservice,4.82,56.8483,0.0
3,2026-05-21T01:45:15.650670,recommendationservice,6.65,37.2918,0.0
4,2026-05-21T01:45:45.706329,frontend,45.43,5.5338,0.0
4,2026-05-21T01:45:45.706329,productcatalogservice,3.16,307.5296,0.0
4,2026-05-21T01:45:45.706329,checkoutservice,36.67,1.4445,0.0
4,2026-05-21T01:45:45.706329,cartservice,4.8,57.3379,0.0
4,2026-05-21T01:45:45.706329,recommendationservice,6.1,38.8697,0.0
5,2026-05-21T01:46:15.768692,frontend,41.21,5.467,0.0
5,2026-05-21T01:46:15.768692,productcatalogservice,2.79,293.4811,0.0
5,2026-05-21T01:46:15.768692,checkoutservice,34.25,1.4001,0.0
5,2026-05-21T01:46:15.768692,cartservice,4.79,56.9378,0.0
5,2026-05-21T01:46:15.768692,recommendationservice,4.98,37.4696,0.0
6,2026-05-21T01:46:45.820307,frontend,42.63,4.6448,0.0
6,2026-05-21T01:46:45.820307,productcatalogservice,3.16,296.9063,0.0
6,2026-05-21T01:46:45.820307,checkoutservice,36.5,1.1779,0.0
6,2026-05-21T01:46:45.820307,cartservice,4.81,56.16,0.0
6,2026-05-21T01:46:45.820307,recommendationservice,6.58,37.0025,0.0
7,2026-05-21T01:47:15.910233,frontend,43.31,5.0226,0.0
7,2026-05-21T01:47:15.910233,productcatalogservice,3.44,295.0807,0.0
7,2026-05-21T01:47:15.910233,checkoutservice,24.97,1.4445,0.0
7,2026-05-21T01:47:15.910233,cartservice,4.85,56.3816,0.0
7,2026-05-21T01:47:15.910233,recommendationservice,7.75,37.5358,0.0
8,2026-05-21T01:47:45.960346,frontend,45.72,5.5781,0.0
8,2026-05-21T01:47:45.960346,productcatalogservice,3.09,290.4361,0.0
