cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-23T22:00:33.547534,frontend,93.07,5.5342,0.0
1,2026-05-23T22:00:33.547534,productcatalogservice,4.51,7.6678,0.0
1,2026-05-23T22:00:33.547534,checkoutservice,92.5,0.3556,0.0
1,2026-05-23T22:00:33.547534,cartservice,4.91,3.4894,0.0
1,2026-05-23T22:00:33.547534,recommendationservice,nan,0.0,0.0
2,2026-05-23T22:01:03.694095,frontend,93.78,4.9341,0.0
2,2026-05-23T22:01:03.694095,productcatalogservice,4.63,28.3595,0.0
2,2026-05-23T22:01:03.694095,checkoutservice,95.26,1.2446,0.0
2,2026-05-23T22:01:03.694095,cartservice,6.06,10.7347,0.0
2,2026-05-23T22:01:03.694095,recommendationservice,nan,0.0,0.0
3,2026-05-23T22:01:33.759035,frontend,92.53,5.3119,0.0
3,2026-05-23T22:01:33.759035,productcatalogservice,4.66,33.56,0.0
3,2026-05-23T22:01:33.759035,checkoutservice,94.75,1.8891,0.0
3,2026-05-23T22:01:33.759035,cartservice,4.98,12.0015,0.0
3,2026-05-23T22:01:33.759035,recommendationservice,nan,0.0,0.0
4,2026-05-23T22:02:03.852475,frontend,92.58,5.9118,0.0
4,2026-05-23T22:02:03.852475,productcatalogservice,4.6,33.8708,0.0
4,2026-05-23T22:02:03.852475,checkoutservice,94.86,1.6002,0.0
4,2026-05-23T22:02:03.852475,cartservice,4.87,11.6901,0.0
4,2026-05-23T22:02:03.852475,recommendationservice,nan,0.0,0.0
5,2026-05-23T22:02:33.975932,frontend,93.04,5.9339,0.0
5,2026-05-23T22:02:33.975932,productcatalogservice,4.62,32.5591,0.0
5,2026-05-23T22:02:33.975932,checkoutservice,94.87,1.778,0.0
5,2026-05-23T22:02:33.975932,cartservice,4.94,11.8233,0.0
5,2026-05-23T22:02:33.975932,recommendationservice,nan,0.0,0.0
6,2026-05-23T22:03:04.029745,frontend,93.4,5.1338,0.0
6,2026-05-23T22:03:04.029745,productcatalogservice,4.61,33.0918,0.0
6,2026-05-23T22:03:04.029745,checkoutservice,94.58,1.4668,0.0
6,2026-05-23T22:03:04.029745,cartservice,4.97,11.8457,0.0
6,2026-05-23T22:03:04.029745,recommendationservice,nan,0.0,0.0
7,2026-05-23T22:03:34.094987,frontend,92.95,4.9338,0.0
7,2026-05-23T22:03:34.094987,productcatalogservice,4.63,33.0477,0.0
7,2026-05-23T22:03:34.094987,checkoutservice,93.85,1.3335,0.0
7,2026-05-23T22:03:34.094987,cartservice,4.99,10.6898,0.0
7,2026-05-23T22:03:34.094987,recommendationservice,nan,0.0,0.0
8,2026-05-23T22:04:04.196142,frontend,93.07,5.4449,0.0
8,2026-05-23T22:04:04.196142,productcatalogservice,4.59,33.3366,0.0
8,2026-05-23T22:04:04.196142,checkoutservice,95.16,1.3557,0.0
8,2026-05-23T22:04:04.196142,cartservice,4.86,11.2901,0.0
8,2026-05-23T22:04:04.196142,recommendationservice,nan,0.0,0.0
9,2026-05-23T22:04:34.268266,frontend,92.76,5.5338,0.0
9,2026-05-23T22:04:34.268266,productcatalogservice,4.63,32.6025,0.0
9,2026-05-23T22:04:34.268266,checkoutservice,93.75,1.1112,0.0
9,2026-05-23T22:04:34.268266,cartservice,4.87,10.9565,0.0
9,2026-05-23T22:04:34.268266,recommendationservice,nan,0.0,0.0
10,2026-05-23T22:05:04.312449,frontend,93.02,4.9561,0.0
10,2026-05-23T22:05:04.312449,productcatalogservice,4.59,31.2256,0.0
10,2026-05-23T22:05:04.312449,checkoutservice,93.85,1.4668,0.0
10,2026-05-23T22:05:04.312449,cartservice,4.89,11.5344,0.0
10,2026-05-23T22:05:04.312449,recommendationservice,nan,0.0,0.0
11,2026-05-23T22:05:34.359100,frontend,92.01,6.1562,0.0
11,2026-05-23T22:05:34.359100,productcatalogservice,4.56,31.4256,0.0
11,2026-05-23T22:05:34.359100,checkoutservice,92.0,1.778,0.0
11,2026-05-23T22:05:34.359100,cartservice,4.88,12.0458,0.0
11,2026-05-23T22:05:34.359100,recommendationservice,nan,0.0,0.0
12,2026-05-23T22:06:04.411188,frontend,89.64,5.7337,0.0
12,2026-05-23T22:06:04.411188,productcatalogservice,4.62,31.7806,0.0
12,2026-05-23T22:06:04.411188,checkoutservice,93.98,1.289,0.0
12,2026-05-23T22:06:04.411188,cartservice,4.98,10.8453,0.0
12,2026-05-23T22:06:04.411188,recommendationservice,nan,0.0,0.0
13,2026-05-23T22:06:34.453212,frontend,92.17,5.7784,0.0
13,2026-05-23T22:06:34.453212,productcatalogservice,4.64,33.0258,0.0
13,2026-05-23T22:06:34.453212,checkoutservice,95.81,1.4668,0.0
13,2026-05-23T22:06:34.453212,cartservice,6.29,11.779,0.0
13,2026-05-23T22:06:34.453212,recommendationservice,nan,0.0,0.0
14,2026-05-23T22:07:04.504416,frontend,93.01,5.4006,0.0
14,2026-05-23T22:07:04.504416,productcatalogservice,4.63,33.6707,0.0
14,2026-05-23T22:07:04.504416,checkoutservice,96.25,1.4446,0.0
14,2026-05-23T22:07:04.504416,cartservice,4.97,12.2902,0.0
14,2026-05-23T22:07:04.504416,recommendationservice,nan,0.0,0.0
15,2026-05-23T22:07:34.546579,frontend,92.05,6.0227,0.0
15,2026-05-23T22:07:34.546579,productcatalogservice,4.58,33.6915,0.0
15,2026-05-23T22:07:34.546579,checkoutservice,94.73,1.4445,0.0
15,2026-05-23T22:07:34.546579,cartservice,4.89,11.9563,0.0
15,2026-05-23T22:07:34.546579,recommendationservice,nan,0.0,0.0
16,2026-05-23T22:08:04.616466,frontend,92.94,5.1116,0.0
16,2026-05-23T22:08:04.616466,productcatalogservice,4.59,32.581,0.0
16,2026-05-23T22:08:04.616466,checkoutservice,93.3,1.4446,0.0
16,2026-05-23T22:08:04.616466,cartservice,4.91,11.5565,0.0
16,2026-05-23T22:08:04.616466,recommendationservice,nan,0.0,0.0
17,2026-05-23T22:08:34.674580,frontend,91.74,5.0448,0.0
17,2026-05-23T22:08:34.674580,productcatalogservice,4.63,33.6696,0.0
17,2026-05-23T22:08:34.674580,checkoutservice,95.0,1.3557,0.0
17,2026-05-23T22:08:34.674580,cartservice,4.99,11.9121,0.0
17,2026-05-23T22:08:34.674580,recommendationservice,nan,0.0,0.0
18,2026-05-23T22:09:04.751566,frontend,90.97,4.6672,0.0
18,2026-05-23T22:09:04.751566,productcatalogservice,4.66,33.137,0.0
18,2026-05-23T22:09:04.751566,checkoutservice,94.54,1.3113,0.0
18,2026-05-23T22:09:04.751566,cartservice,5.48,11.4457,0.0
18,2026-05-23T22:09:04.751566,recommendationservice,nan,0.0,0.0
19,2026-05-23T22:09:34.823978,frontend,91.49,4.4892,0.0
19,2026-05-23T22:09:34.823978,productcatalogservice,4.68,32.4028,0.0
19,2026-05-23T22:09:34.823978,checkoutservice,94.82,1.2223,0.0
19,2026-05-23T22:09:34.823978,cartservice,6.54,10.8009,0.0
19,2026-05-23T22:09:34.823978,recommendationservice,nan,0.0,0.0
20,2026-05-23T22:10:04.865092,frontend,92.17,4.7115,0.0
20,2026-05-23T22:10:04.865092,productcatalogservice,4.59,33.7804,0.0
20,2026-05-23T22:10:04.865092,checkoutservice,94.44,1.6223,0.0
20,2026-05-23T22:10:04.865092,cartservice,4.93,12.7343,0.0
20,2026-05-23T22:10:04.865092,recommendationservice,nan,0.0,0.0
21,2026-05-23T22:10:34.927661,frontend,92.8,5.2005,0.0
21,2026-05-23T22:10:34.927661,productcatalogservice,4.53,33.6477,0.0
21,2026-05-23T22:10:34.927661,checkoutservice,95.74,1.8002,0.0
21,2026-05-23T22:10:34.927661,cartservice,4.87,12.5123,0.0
21,2026-05-23T22:10:34.927661,recommendationservice,nan,0.0,0.0
22,2026-05-23T22:11:04.979752,frontend,93.02,5.6227,0.0
22,2026-05-23T22:11:04.979752,productcatalogservice,4.63,32.6247,0.0
22,2026-05-23T22:11:04.979752,checkoutservice,95.12,1.8224,0.0
22,2026-05-23T22:11:04.979752,cartservice,4.98,11.9788,0.0
22,2026-05-23T22:11:04.979752,recommendationservice,nan,0.0,0.0
23,2026-05-23T22:11:35.049897,frontend,93.8,5.1116,0.0
23,2026-05-23T22:11:35.049897,productcatalogservice,4.6,32.0476,0.0
23,2026-05-23T22:11:35.049897,checkoutservice,93.63,1.4001,0.0
23,2026-05-23T22:11:35.049897,cartservice,4.89,11.023,0.0
23,2026-05-23T22:11:35.049897,recommendationservice,nan,0.0,0.0
