cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T14:13:16.546893,frontend,91.83,5.5559,0.0
1,2026-05-27T14:13:16.546893,productcatalogservice,4.56,3.7335,0.0
1,2026-05-27T14:13:16.546893,checkoutservice,85.0,0.2667,0.0
1,2026-05-27T14:13:16.546893,cartservice,4.88,1.0667,0.0
1,2026-05-27T14:13:16.546893,recommendationservice,nan,0.0,0.0
2,2026-05-27T14:13:46.597640,frontend,92.57,4.7558,0.0
2,2026-05-27T14:13:46.597640,productcatalogservice,4.58,3.4891,0.0
2,2026-05-27T14:13:46.597640,checkoutservice,90.0,0.1778,0.0
2,2026-05-27T14:13:46.597640,cartservice,5.75,0.7556,0.0
2,2026-05-27T14:13:46.597640,recommendationservice,nan,0.0,0.0
3,2026-05-27T14:14:16.635505,frontend,93.29,4.7557,0.0
3,2026-05-27T14:14:16.635505,productcatalogservice,4.64,3.1112,0.0
3,2026-05-27T14:14:16.635505,checkoutservice,48.12,0.1333,0.0
3,2026-05-27T14:14:16.635505,cartservice,4.8,0.5778,0.0
3,2026-05-27T14:14:16.635505,recommendationservice,nan,0.0,0.0
4,2026-05-27T14:14:46.675678,frontend,94.5,4.5559,0.0
4,2026-05-27T14:14:46.675678,productcatalogservice,4.65,3.0002,0.0
4,2026-05-27T14:14:46.675678,checkoutservice,nan,0.0,0.0
4,2026-05-27T14:14:46.675678,cartservice,8.12,0.3111,0.0
4,2026-05-27T14:14:46.675678,recommendationservice,nan,0.0,0.0
5,2026-05-27T14:15:16.731582,frontend,93.14,4.8225,0.0
5,2026-05-27T14:15:16.731582,productcatalogservice,4.66,3.1779,0.0
5,2026-05-27T14:15:16.731582,checkoutservice,96.25,0.1333,0.0
5,2026-05-27T14:15:16.731582,cartservice,6.0,0.6667,0.0
5,2026-05-27T14:15:16.731582,recommendationservice,nan,0.0,0.0
6,2026-05-27T14:15:46.825146,frontend,93.46,5.5781,0.0
6,2026-05-27T14:15:46.825146,productcatalogservice,4.67,3.6447,0.0
6,2026-05-27T14:15:46.825146,checkoutservice,96.67,0.1778,0.0
6,2026-05-27T14:15:46.825146,cartservice,4.8,0.6222,0.0
6,2026-05-27T14:15:46.825146,recommendationservice,nan,0.0,0.0
7,2026-05-27T14:16:16.863383,frontend,93.04,4.9337,0.0
7,2026-05-27T14:16:16.863383,productcatalogservice,4.65,3.3336,0.0
7,2026-05-27T14:16:16.863383,checkoutservice,93.75,0.2,0.0
7,2026-05-27T14:16:16.863383,cartservice,7.63,0.7556,0.0
7,2026-05-27T14:16:16.863383,recommendationservice,nan,0.0,0.0
8,2026-05-27T14:16:46.903497,frontend,92.5,5.4891,0.0
8,2026-05-27T14:16:46.903497,productcatalogservice,4.62,3.489,0.0
8,2026-05-27T14:16:46.903497,checkoutservice,95.83,0.2222,0.0
8,2026-05-27T14:16:46.903497,cartservice,4.8,0.8222,0.0
8,2026-05-27T14:16:46.903497,recommendationservice,nan,0.0,0.0
9,2026-05-27T14:17:16.943857,frontend,92.12,5.4002,0.0
9,2026-05-27T14:17:16.943857,productcatalogservice,4.65,3.1779,0.0
9,2026-05-27T14:17:16.943857,checkoutservice,95.0,0.1333,0.0
9,2026-05-27T14:17:16.943857,cartservice,5.5,0.7333,0.0
9,2026-05-27T14:17:16.943857,recommendationservice,nan,0.0,0.0
10,2026-05-27T14:17:46.987680,frontend,93.32,5.045,0.0
10,2026-05-27T14:17:46.987680,productcatalogservice,4.6,3.1781,0.0
10,2026-05-27T14:17:46.987680,checkoutservice,95.0,0.1778,0.0
10,2026-05-27T14:17:46.987680,cartservice,8.12,0.7112,0.0
10,2026-05-27T14:17:46.987680,recommendationservice,nan,0.0,0.0
11,2026-05-27T14:18:17.038674,frontend,94.76,5.223,0.0
11,2026-05-27T14:18:17.038674,productcatalogservice,4.62,3.156,0.0
11,2026-05-27T14:18:17.038674,checkoutservice,95.0,0.1778,0.0
11,2026-05-27T14:18:17.038674,cartservice,8.44,0.5778,0.0
11,2026-05-27T14:18:17.038674,recommendationservice,nan,0.0,0.0
12,2026-05-27T14:18:47.089037,frontend,92.76,5.7116,0.0
12,2026-05-27T14:18:47.089037,productcatalogservice,4.65,3.3336,0.0
12,2026-05-27T14:18:47.089037,checkoutservice,96.88,0.2222,0.0
12,2026-05-27T14:18:47.089037,cartservice,7.62,0.8445,0.0
12,2026-05-27T14:18:47.089037,recommendationservice,nan,0.0,0.0
13,2026-05-27T14:19:17.214695,frontend,92.89,5.5783,0.0
13,2026-05-27T14:19:17.214695,productcatalogservice,4.66,3.4003,0.0
13,2026-05-27T14:19:17.214695,checkoutservice,95.0,0.2667,0.0
13,2026-05-27T14:19:17.214695,cartservice,8.21,1.1112,0.0
13,2026-05-27T14:19:17.214695,recommendationservice,nan,0.0,0.0
14,2026-05-27T14:19:47.279727,frontend,92.64,5.9117,0.0
14,2026-05-27T14:19:47.279727,productcatalogservice,4.62,3.3114,0.0
14,2026-05-27T14:19:47.279727,checkoutservice,93.33,0.2667,0.0
14,2026-05-27T14:19:47.279727,cartservice,4.8,0.9778,0.0
14,2026-05-27T14:19:47.279727,recommendationservice,nan,0.0,0.0
15,2026-05-27T14:20:17.340620,frontend,93.27,5.556,0.0
15,2026-05-27T14:20:17.340620,productcatalogservice,4.75,3.2225,0.0
15,2026-05-27T14:20:17.340620,checkoutservice,93.75,0.2222,0.0
15,2026-05-27T14:20:17.340620,cartservice,7.5,0.9334,0.0
15,2026-05-27T14:20:17.340620,recommendationservice,nan,0.0,0.0
16,2026-05-27T14:20:47.418382,frontend,93.45,5.845,0.0
16,2026-05-27T14:20:47.418382,productcatalogservice,4.74,3.4892,0.0
16,2026-05-27T14:20:47.418382,checkoutservice,88.75,0.1778,0.0
16,2026-05-27T14:20:47.418382,cartservice,8.5,0.889,0.0
16,2026-05-27T14:20:47.418382,recommendationservice,nan,0.0,0.0
17,2026-05-27T14:21:17.467963,frontend,91.08,5.845,0.0
17,2026-05-27T14:21:17.467963,productcatalogservice,4.65,3.667,0.0
17,2026-05-27T14:21:17.467963,checkoutservice,91.25,0.3111,0.0
17,2026-05-27T14:21:17.467963,cartservice,9.25,1.0223,0.0
17,2026-05-27T14:21:17.467963,recommendationservice,nan,0.0,0.0
18,2026-05-27T14:21:47.606476,frontend,93.15,5.7561,0.0
18,2026-05-27T14:21:47.606476,productcatalogservice,4.53,3.6226,0.0
18,2026-05-27T14:21:47.606476,checkoutservice,95.36,0.3111,0.0
18,2026-05-27T14:21:47.606476,cartservice,4.8,0.9778,0.0
18,2026-05-27T14:21:47.606476,recommendationservice,nan,0.0,0.0
19,2026-05-27T14:22:17.652521,frontend,3860.58,5.1114,0.0
19,2026-05-27T14:22:17.652521,productcatalogservice,4.6,3.2669,0.0
19,2026-05-27T14:22:17.652521,checkoutservice,4812.5,0.1333,0.0
19,2026-05-27T14:22:17.652521,cartservice,4614.58,0.8,0.0
19,2026-05-27T14:22:17.652521,recommendationservice,nan,0.0,0.0
20,2026-05-27T14:22:47.698747,frontend,3989.13,4.2668,0.0
20,2026-05-27T14:22:47.698747,productcatalogservice,4.6,2.689,0.0
20,2026-05-27T14:22:47.698747,checkoutservice,nan,0.0,0.0
20,2026-05-27T14:22:47.698747,cartservice,4700.0,0.4889,0.0
20,2026-05-27T14:22:47.698747,recommendationservice,nan,0.0,0.0
21,2026-05-27T14:23:17.748407,frontend,3880.21,4.7557,0.0
21,2026-05-27T14:23:17.748407,productcatalogservice,4.65,2.9112,0.0
21,2026-05-27T14:23:17.748407,checkoutservice,4875.0,0.0889,0.0
21,2026-05-27T14:23:17.748407,cartservice,4712.5,0.5111,0.0
21,2026-05-27T14:23:17.748407,recommendationservice,nan,0.0,0.0
22,2026-05-27T14:23:47.798803,frontend,4162.5,4.4446,0.0
22,2026-05-27T14:23:47.798803,productcatalogservice,4.68,2.6889,0.0
22,2026-05-27T14:23:47.798803,checkoutservice,4875.0,0.1778,0.0
22,2026-05-27T14:23:47.798803,cartservice,4785.72,0.5111,0.0
22,2026-05-27T14:23:47.798803,recommendationservice,nan,0.0,0.0
23,2026-05-27T14:24:17.841480,frontend,3768.75,4.4669,0.0
23,2026-05-27T14:24:17.841480,productcatalogservice,4.68,2.7113,0.0
23,2026-05-27T14:24:17.841480,checkoutservice,4875.0,0.1333,0.0
23,2026-05-27T14:24:17.841480,cartservice,4825.0,0.3111,0.0
23,2026-05-27T14:24:17.841480,recommendationservice,nan,0.0,0.0
24,2026-05-27T14:24:47.886274,frontend,3865.0,5.1335,0.0
24,2026-05-27T14:24:47.886274,productcatalogservice,4.66,2.7112,0.0
24,2026-05-27T14:24:47.886274,checkoutservice,4875.0,0.1333,0.0
24,2026-05-27T14:24:47.886274,cartservice,4818.76,0.4,0.0
24,2026-05-27T14:24:47.886274,recommendationservice,nan,0.0,0.0
25,2026-05-27T14:25:18.114333,frontend,4203.57,4.8891,0.0
25,2026-05-27T14:25:18.114333,productcatalogservice,4.55,2.8445,0.0
25,2026-05-27T14:25:18.114333,checkoutservice,4875.0,0.2667,0.0
25,2026-05-27T14:25:18.114333,cartservice,4801.84,0.5778,0.0
25,2026-05-27T14:25:18.114333,recommendationservice,nan,0.0,0.0
26,2026-05-27T14:25:48.158037,frontend,4071.43,4.5112,0.0
26,2026-05-27T14:25:48.158037,productcatalogservice,4.54,2.6889,0.0
26,2026-05-27T14:25:48.158037,checkoutservice,4875.0,0.1778,0.0
26,2026-05-27T14:25:48.158037,cartservice,4807.69,0.4444,0.0
26,2026-05-27T14:25:48.158037,recommendationservice,nan,0.0,0.0
27,2026-05-27T14:26:18.224882,frontend,4000.0,4.378,0.0
27,2026-05-27T14:26:18.224882,productcatalogservice,4.64,2.6001,0.0
27,2026-05-27T14:26:18.224882,checkoutservice,4875.0,0.1333,0.0
27,2026-05-27T14:26:18.224882,cartservice,4846.15,0.3111,0.0
27,2026-05-27T14:26:18.224882,recommendationservice,nan,0.0,0.0
28,2026-05-27T14:26:48.270439,frontend,3978.26,4.178,0.0
28,2026-05-27T14:26:48.270439,productcatalogservice,4.63,2.9557,0.0
28,2026-05-27T14:26:48.270439,checkoutservice,4875.0,0.1778,0.0
28,2026-05-27T14:26:48.270439,cartservice,4822.92,0.3333,0.0
28,2026-05-27T14:26:48.270439,recommendationservice,nan,0.0,0.0
29,2026-05-27T14:27:18.311858,frontend,4208.33,4.2224,0.0
29,2026-05-27T14:27:18.311858,productcatalogservice,4.64,3.0224,0.0
29,2026-05-27T14:27:18.311858,checkoutservice,4875.0,0.2222,0.0
29,2026-05-27T14:27:18.311858,cartservice,4812.5,0.4667,0.0
29,2026-05-27T14:27:18.311858,recommendationservice,nan,0.0,0.0
30,2026-05-27T14:27:48.355114,frontend,3541.67,3.8224,0.0
30,2026-05-27T14:27:48.355114,productcatalogservice,4.67,2.4223,0.0
30,2026-05-27T14:27:48.355114,checkoutservice,4875.0,0.0889,0.0
30,2026-05-27T14:27:48.355114,cartservice,4843.75,0.1778,0.0
30,2026-05-27T14:27:48.355114,recommendationservice,nan,0.0,0.0
31,2026-05-27T14:28:18.397018,frontend,3823.86,4.467,0.0
31,2026-05-27T14:28:18.397018,productcatalogservice,4.65,2.8224,0.0
31,2026-05-27T14:28:18.397018,checkoutservice,4875.0,0.1333,0.0
31,2026-05-27T14:28:18.397018,cartservice,4850.0,0.3111,0.0
31,2026-05-27T14:28:18.397018,recommendationservice,nan,0.0,0.0
32,2026-05-27T14:28:48.494154,frontend,4341.22,4.3558,0.0
32,2026-05-27T14:28:48.494154,productcatalogservice,4.64,2.9779,0.0
32,2026-05-27T14:28:48.494154,checkoutservice,4875.0,0.2222,0.0
32,2026-05-27T14:28:48.494154,cartservice,4833.33,0.5334,0.0
32,2026-05-27T14:28:48.494154,recommendationservice,nan,0.0,0.0
33,2026-05-27T14:29:18.532680,frontend,4160.16,4.7114,0.0
33,2026-05-27T14:29:18.532680,productcatalogservice,4.67,2.9335,0.0
33,2026-05-27T14:29:18.532680,checkoutservice,4875.0,0.1778,0.0
33,2026-05-27T14:29:18.532680,cartservice,4830.88,0.4667,0.0
33,2026-05-27T14:29:18.532680,recommendationservice,nan,0.0,0.0
34,2026-05-27T14:29:48.585173,frontend,4143.94,4.9113,0.0
34,2026-05-27T14:29:48.585173,productcatalogservice,4.7,2.7113,0.0
34,2026-05-27T14:29:48.585173,checkoutservice,4875.0,0.1778,0.0
34,2026-05-27T14:29:48.585173,cartservice,4835.94,0.4889,0.0
34,2026-05-27T14:29:48.585173,recommendationservice,nan,0.0,0.0
35,2026-05-27T14:30:18.631326,frontend,4141.67,4.5557,0.0
35,2026-05-27T14:30:18.631326,productcatalogservice,4.64,2.889,0.0
35,2026-05-27T14:30:18.631326,checkoutservice,4875.0,0.1333,0.0
35,2026-05-27T14:30:18.631326,cartservice,4826.92,0.4444,0.0
35,2026-05-27T14:30:18.631326,recommendationservice,nan,0.0,0.0
36,2026-05-27T14:30:48.675606,frontend,4197.58,4.4892,0.0
36,2026-05-27T14:30:48.675606,productcatalogservice,4.63,2.8891,0.0
36,2026-05-27T14:30:48.675606,checkoutservice,4875.0,0.1333,0.0
36,2026-05-27T14:30:48.675606,cartservice,4850.0,0.4222,0.0
36,2026-05-27T14:30:48.675606,recommendationservice,nan,0.0,0.0
37,2026-05-27T14:31:18.734886,frontend,4257.35,4.5781,0.0
37,2026-05-27T14:31:18.734886,productcatalogservice,4.64,2.778,0.0
37,2026-05-27T14:31:18.734886,checkoutservice,4875.0,0.2222,0.0
37,2026-05-27T14:31:18.734886,cartservice,4843.75,0.4445,0.0
37,2026-05-27T14:31:18.734886,recommendationservice,nan,0.0,0.0
38,2026-05-27T14:31:48.798502,frontend,2812.5,5.3557,0.0
38,2026-05-27T14:31:48.798502,productcatalogservice,4.65,3.6001,0.0
38,2026-05-27T14:31:48.798502,checkoutservice,4687.5,0.2222,0.0
38,2026-05-27T14:31:48.798502,cartservice,4535.72,0.5778,0.0
38,2026-05-27T14:31:48.798502,recommendationservice,nan,0.0,0.0
39,2026-05-27T14:32:18.869133,frontend,93.09,4.8225,0.0
39,2026-05-27T14:32:18.869133,productcatalogservice,4.67,3.1113,0.0
