cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T00:43:24.370302,checkoutservice,24.25,0.0889,0.0
1,2026-05-27T00:43:24.370302,cartservice,4.78,5.0672,0.0
1,2026-05-27T00:43:24.370302,recommendationservice,4.95,4.0671,0.0
2,2026-05-27T00:44:57.262713,frontend,142.19,5.1782,0.0
2,2026-05-27T00:44:57.262713,productcatalogservice,2.69,27.7581,0.0
2,2026-05-27T00:44:57.262713,checkoutservice,43.75,0.2222,0.0
2,2026-05-27T00:44:57.262713,cartservice,4.8,5.0449,0.0
2,2026-05-27T00:44:57.262713,recommendationservice,4.85,3.4448,0.0
3,2026-05-27T00:45:27.348032,frontend,48.5,4.9115,0.0
3,2026-05-27T00:45:27.348032,productcatalogservice,2.81,26.4916,0.0
3,2026-05-27T00:45:27.348032,checkoutservice,24.25,0.1778,0.0
3,2026-05-27T00:45:27.348032,cartservice,4.83,4.5338,0.0
3,2026-05-27T00:45:27.348032,recommendationservice,4.93,3.4226,0.0
4,2026-05-27T00:45:57.387443,frontend,54.69,5.0893,0.0
4,2026-05-27T00:45:57.387443,productcatalogservice,3.02,27.558,0.0
4,2026-05-27T00:45:57.387443,checkoutservice,24.25,0.2667,0.0
4,2026-05-27T00:45:57.387443,cartservice,4.83,4.8893,0.0
4,2026-05-27T00:45:57.387443,recommendationservice,6.72,3.6225,0.0
1,2026-05-27T00:46:18.673505,frontend,54.44,5.8672,0.0
1,2026-05-27T00:46:18.673505,productcatalogservice,3.84,29.6019,0.0
1,2026-05-27T00:46:18.673505,checkoutservice,38.75,0.4,0.0
1,2026-05-27T00:46:18.673505,cartservice,4.89,6.045,0.0
1,2026-05-27T00:46:18.673505,recommendationservice,8.39,4.0447,0.0
5,2026-05-27T00:46:27.477520,frontend,59.17,6.0228,0.0
5,2026-05-27T00:46:27.477520,productcatalogservice,4.02,31.5594,0.0
5,2026-05-27T00:46:27.477520,checkoutservice,38.75,0.4,0.0
5,2026-05-27T00:46:27.477520,cartservice,4.89,6.045,0.0
5,2026-05-27T00:46:27.477520,recommendationservice,8.76,4.156,0.0
2,2026-05-27T00:46:48.741518,frontend,60.0,6.1339,0.0
2,2026-05-27T00:46:48.741518,productcatalogservice,4.21,32.9584,0.0
2,2026-05-27T00:46:48.741518,checkoutservice,39.38,0.3556,0.0
2,2026-05-27T00:46:48.741518,cartservice,4.92,5.9784,0.0
2,2026-05-27T00:46:48.741518,recommendationservice,9.25,4.4671,0.0
6,2026-05-27T00:46:57.539567,frontend,61.25,5.7783,0.0
6,2026-05-27T00:46:57.539567,productcatalogservice,4.16,32.7587,0.0
6,2026-05-27T00:46:57.539567,checkoutservice,39.38,0.3556,0.0
6,2026-05-27T00:46:57.539567,cartservice,4.92,5.9784,0.0
6,2026-05-27T00:46:57.539567,recommendationservice,9.29,4.2893,0.0
3,2026-05-27T00:47:18.815869,frontend,47.0,5.4004,0.0
3,2026-05-27T00:47:18.815869,productcatalogservice,3.18,29.7351,0.0
3,2026-05-27T00:47:18.815869,checkoutservice,24.25,0.2222,0.0
3,2026-05-27T00:47:18.815869,cartservice,4.8,5.0895,0.0
