cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T16:29:09.070190,frontend,4562.5,4.2225,0.0
1,2026-05-27T16:29:09.070190,productcatalogservice,4640.0,1.7113,0.0
1,2026-05-27T16:29:09.070190,checkoutservice,4500.0,0.1778,0.0
1,2026-05-27T16:29:09.070190,cartservice,8.5,0.3111,0.0
1,2026-05-27T16:29:09.070190,recommendationservice,nan,0.0,0.0
2,2026-05-27T16:29:39.163734,frontend,92.5,5.3561,0.0
2,2026-05-27T16:29:39.163734,productcatalogservice,4.61,2.9559,0.0
2,2026-05-27T16:29:39.163734,checkoutservice,93.75,0.2222,0.0
2,2026-05-27T16:29:39.163734,cartservice,4.8,0.8001,0.0
2,2026-05-27T16:29:39.163734,recommendationservice,nan,0.0,0.0
3,2026-05-27T16:30:09.273084,frontend,92.34,5.4225,0.0
3,2026-05-27T16:30:09.273084,productcatalogservice,4.77,2.8891,0.0
3,2026-05-27T16:30:09.273084,checkoutservice,82.5,0.1778,0.0
3,2026-05-27T16:30:09.273084,cartservice,4.8,0.6667,0.0
3,2026-05-27T16:30:09.273084,recommendationservice,nan,0.0,0.0
4,2026-05-27T20:58:55.420335,frontend,92.2,5.8227,0.0
4,2026-05-27T20:58:55.420335,productcatalogservice,4.79,3.378,0.0
4,2026-05-27T20:58:55.420335,checkoutservice,95.0,0.2667,0.0
4,2026-05-27T20:58:55.420335,cartservice,4.79,0.889,0.0
4,2026-05-27T20:58:55.420335,recommendationservice,nan,0.0,0.0
5,2026-05-27T20:59:26.608075,frontend,92.31,1.1148,0.0
5,2026-05-27T20:59:26.608075,productcatalogservice,4.56,1.4988,0.0
5,2026-05-27T20:59:26.608075,checkoutservice,nan,0.0,0.0
5,2026-05-27T20:59:26.608075,cartservice,4.8,0.2218,0.0
5,2026-05-27T20:59:26.608075,recommendationservice,nan,0.0,0.0
6,2026-05-27T20:59:56.713960,frontend,92.75,5.2068,0.0
6,2026-05-27T20:59:56.713960,productcatalogservice,4.69,3.5339,0.0
6,2026-05-27T20:59:56.713960,checkoutservice,95.0,0.1778,0.0
6,2026-05-27T20:59:56.713960,cartservice,8.1,0.8668,0.0
6,2026-05-27T20:59:56.713960,recommendationservice,nan,0.0,0.0
7,2026-05-27T21:00:26.791206,frontend,92.53,5.7788,0.0
7,2026-05-27T21:00:26.791206,productcatalogservice,4.65,4.0673,0.0
7,2026-05-27T21:00:26.791206,checkoutservice,90.83,0.2223,0.0
7,2026-05-27T21:00:26.791206,cartservice,8.04,0.9779,0.0
7,2026-05-27T21:00:26.791206,recommendationservice,nan,0.0,0.0
8,2026-05-27T21:00:57.206498,frontend,92.76,5.3562,0.0
