cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T00:44:06.105661,frontend,44.8,5.3561,0.0
1,2026-05-27T00:44:06.105661,productcatalogservice,2.51,29.4049,0.0
1,2026-05-27T00:44:06.105661,checkoutservice,24.25,0.0889,0.0
1,2026-05-27T00:44:06.105661,cartservice,4.78,5.0672,0.0
1,2026-05-27T00:44:06.105661,recommendationservice,4.95,4.0671,0.0
2,2026-05-27T00:44:56.898975,frontend,142.19,5.1782,0.0
2,2026-05-27T00:44:56.898975,productcatalogservice,2.69,27.7581,0.0
2,2026-05-27T00:44:56.898975,checkoutservice,43.75,0.2222,0.0
2,2026-05-27T00:44:56.898975,cartservice,4.8,5.0449,0.0
2,2026-05-27T00:44:56.898975,recommendationservice,4.85,3.4448,0.0
3,2026-05-27T00:45:26.948000,frontend,48.5,4.9115,0.0
3,2026-05-27T00:45:26.948000,productcatalogservice,2.81,26.4916,0.0
3,2026-05-27T00:45:26.948000,checkoutservice,24.25,0.1778,0.0
3,2026-05-27T00:45:26.948000,cartservice,4.83,4.5338,0.0
3,2026-05-27T00:45:26.948000,recommendationservice,4.93,3.4226,0.0
4,2026-05-27T00:45:56.990937,frontend,54.69,5.0893,0.0
4,2026-05-27T00:45:56.990937,productcatalogservice,3.02,27.558,0.0
4,2026-05-27T00:45:56.990937,checkoutservice,24.25,0.2667,0.0
4,2026-05-27T00:45:56.990937,cartservice,4.83,4.8893,0.0
4,2026-05-27T00:45:56.990937,recommendationservice,6.72,3.6225,0.0
5,2026-05-27T00:46:27.090282,frontend,59.17,6.0228,0.0
5,2026-05-27T00:46:27.090282,productcatalogservice,4.02,31.5594,0.0
5,2026-05-27T00:46:27.090282,checkoutservice,38.75,0.4,0.0
5,2026-05-27T00:46:27.090282,cartservice,4.89,6.045,0.0
5,2026-05-27T00:46:27.090282,recommendationservice,8.76,4.156,0.0
6,2026-05-27T00:46:57.146980,frontend,61.25,5.7783,0.0
6,2026-05-27T00:46:57.146980,productcatalogservice,4.16,32.7587,0.0
6,2026-05-27T00:46:57.146980,checkoutservice,39.38,0.3556,0.0
6,2026-05-27T00:46:57.146980,cartservice,4.92,5.9784,0.0
6,2026-05-27T00:46:57.146980,recommendationservice,9.29,4.2893,0.0
7,2026-05-27T00:47:27.191473,frontend,46.12,5.3117,0.0
7,2026-05-27T00:47:27.191473,productcatalogservice,2.72,27.4694,0.0
7,2026-05-27T00:47:27.191473,checkoutservice,24.25,0.2222,0.0
7,2026-05-27T00:47:27.191473,cartservice,4.8,5.0895,0.0
7,2026-05-27T00:47:27.191473,recommendationservice,5.67,3.8004,0.0
8,2026-05-27T00:47:57.227658,frontend,49.35,5.245,0.0
8,2026-05-27T00:47:57.227658,productcatalogservice,2.77,26.5354,0.0
8,2026-05-27T00:47:57.227658,checkoutservice,24.25,0.0889,0.0
8,2026-05-27T00:47:57.227658,cartservice,4.79,4.8671,0.0
8,2026-05-27T00:47:57.227658,recommendationservice,4.94,3.6892,0.0
9,2026-05-27T00:48:27.270950,frontend,54.5,5.1115,0.0
9,2026-05-27T00:48:27.270950,productcatalogservice,2.8,25.1133,0.0
9,2026-05-27T00:48:27.270950,checkoutservice,24.25,0.0889,0.0
9,2026-05-27T00:48:27.270950,cartservice,4.79,4.5782,0.0
9,2026-05-27T00:48:27.270950,recommendationservice,4.96,3.3781,0.0
10,2026-05-27T00:48:57.365418,frontend,49.93,5.4227,0.0
10,2026-05-27T00:48:57.365418,productcatalogservice,2.78,28.5806,0.0
10,2026-05-27T00:48:57.365418,checkoutservice,24.25,0.1778,0.0
10,2026-05-27T00:48:57.365418,cartservice,4.82,5.0448,0.0
10,2026-05-27T00:48:57.365418,recommendationservice,4.92,3.4892,0.0
11,2026-05-27T00:49:27.402216,frontend,60.0,4.9559,0.0
11,2026-05-27T00:49:27.402216,productcatalogservice,2.83,27.4238,0.0
11,2026-05-27T00:49:27.402216,checkoutservice,24.25,0.1111,0.0
11,2026-05-27T00:49:27.402216,cartservice,4.78,4.667,0.0
11,2026-05-27T00:49:27.402216,recommendationservice,4.87,3.6447,0.0
12,2026-05-27T00:49:57.459269,frontend,71.36,5.0893,0.0
12,2026-05-27T00:49:57.459269,productcatalogservice,3.1,25.869,0.0
12,2026-05-27T00:49:57.459269,checkoutservice,24.25,0.1778,0.0
12,2026-05-27T00:49:57.459269,cartservice,4.81,4.667,0.0
12,2026-05-27T00:49:57.459269,recommendationservice,4.88,3.3336,0.0
13,2026-05-27T00:50:27.500939,frontend,46.99,5.3121,0.0
13,2026-05-27T00:50:27.500939,productcatalogservice,2.79,26.6933,0.0
13,2026-05-27T00:50:27.500939,checkoutservice,24.25,0.1778,0.0
13,2026-05-27T00:50:27.500939,cartservice,4.81,4.9564,0.0
13,2026-05-27T00:50:27.500939,recommendationservice,4.85,3.4895,0.0
14,2026-05-27T00:50:57.540955,frontend,47.98,5.623,0.0
14,2026-05-27T00:50:57.540955,productcatalogservice,2.94,30.404,0.0
14,2026-05-27T00:50:57.540955,checkoutservice,24.25,0.2223,0.0
14,2026-05-27T00:50:57.540955,cartservice,4.85,5.6229,0.0
14,2026-05-27T00:50:57.540955,recommendationservice,4.89,3.7782,0.0
15,2026-05-27T00:51:27.575291,frontend,48.68,6.0444,0.0
15,2026-05-27T00:51:27.575291,productcatalogservice,2.78,30.6671,0.0
15,2026-05-27T00:51:27.575291,checkoutservice,24.25,0.3111,0.0
15,2026-05-27T00:51:27.575291,cartservice,4.84,5.8,0.0
15,2026-05-27T00:51:27.575291,recommendationservice,4.94,3.8445,0.0
16,2026-05-27T00:51:57.612916,frontend,52.81,5.5336,0.0
16,2026-05-27T00:51:57.612916,productcatalogservice,3.01,28.8241,0.0
16,2026-05-27T00:51:57.612916,checkoutservice,24.25,0.1778,0.0
16,2026-05-27T00:51:57.612916,cartservice,4.78,5.3558,0.0
16,2026-05-27T00:51:57.612916,recommendationservice,4.85,3.7558,0.0
17,2026-05-27T00:52:27.649910,frontend,49.21,5.5561,0.0
17,2026-05-27T00:52:27.649910,productcatalogservice,2.86,31.3146,0.0
17,2026-05-27T00:52:27.649910,checkoutservice,41.25,0.3111,0.0
17,2026-05-27T00:52:27.649910,cartservice,4.79,5.7117,0.0
17,2026-05-27T00:52:27.649910,recommendationservice,4.86,4.3116,0.0
18,2026-05-27T00:52:57.710896,frontend,47.19,5.3116,0.0
18,2026-05-27T00:52:57.710896,productcatalogservice,2.85,28.7137,0.0
18,2026-05-27T00:52:57.710896,checkoutservice,43.75,0.2222,0.0
18,2026-05-27T00:52:57.710896,cartservice,4.79,5.2893,0.0
18,2026-05-27T00:52:57.710896,recommendationservice,4.84,3.9559,0.0
19,2026-05-27T00:53:27.786269,frontend,60.83,4.9115,0.0
19,2026-05-27T00:53:27.786269,productcatalogservice,2.66,25.3134,0.0
19,2026-05-27T00:53:27.786269,checkoutservice,462.5,0.1333,0.0
19,2026-05-27T00:53:27.786269,cartservice,4.81,4.6893,0.0
19,2026-05-27T00:53:27.786269,recommendationservice,4.8,3.4448,0.0
20,2026-05-27T00:53:57.826816,frontend,817.5,4.6227,0.0
20,2026-05-27T00:53:57.826816,productcatalogservice,2.91,25.3581,0.0
20,2026-05-27T00:53:57.826816,checkoutservice,462.5,0.1333,0.0
20,2026-05-27T00:53:57.826816,cartservice,4.79,4.6227,0.0
20,2026-05-27T00:53:57.826816,recommendationservice,4.85,3.4003,0.0
21,2026-05-27T00:54:27.862270,frontend,3428.36,3.799,0.0
21,2026-05-27T00:54:27.862270,productcatalogservice,3.68,18.8239,0.0
21,2026-05-27T00:54:27.862270,checkoutservice,4625.0,0.1333,0.0
21,2026-05-27T00:54:27.862270,cartservice,4.79,3.5336,0.0
21,2026-05-27T00:54:27.862270,recommendationservice,7.52,2.7114,0.0
22,2026-05-27T00:54:58.657069,frontend,2533.63,4.7291,0.0
22,2026-05-27T00:54:58.657069,productcatalogservice,4.37,6.2896,0.0
22,2026-05-27T00:54:58.657069,checkoutservice,2125.0,0.2222,0.0
22,2026-05-27T00:54:58.657069,cartservice,4.9,1.6002,0.0
22,2026-05-27T00:54:58.657069,recommendationservice,8.5,0.7112,0.0
23,2026-05-27T00:55:29.363957,frontend,91.85,5.1782,0.0
23,2026-05-27T00:55:29.363957,productcatalogservice,4.59,2.9113,0.0
23,2026-05-27T00:55:29.363957,checkoutservice,47.5,0.0889,0.0
23,2026-05-27T00:55:29.363957,cartservice,8.0,0.6223,0.0
23,2026-05-27T00:55:29.363957,recommendationservice,nan,0.0,0.0
24,2026-05-27T00:55:59.668498,frontend,92.53,5.2893,0.0
24,2026-05-27T00:55:59.668498,productcatalogservice,4.61,2.9335,0.0
24,2026-05-27T00:55:59.668498,checkoutservice,95.0,0.1778,0.0
24,2026-05-27T00:55:59.668498,cartservice,4.8,0.8445,0.0
24,2026-05-27T00:55:59.668498,recommendationservice,nan,0.0,0.0
25,2026-05-27T00:56:29.703323,frontend,93.03,5.4004,0.0
25,2026-05-27T00:56:29.703323,productcatalogservice,4.6,3.1114,0.0
25,2026-05-27T00:56:29.703323,checkoutservice,92.5,0.1333,0.0
25,2026-05-27T00:56:29.703323,cartservice,4.8,0.8001,0.0
25,2026-05-27T00:56:29.703323,recommendationservice,nan,0.0,0.0
26,2026-05-27T00:56:59.757092,frontend,92.08,5.4894,0.0
26,2026-05-27T00:56:59.757092,productcatalogservice,4.58,3.3336,0.0
26,2026-05-27T00:56:59.757092,checkoutservice,48.21,0.2222,0.0
26,2026-05-27T00:56:59.757092,cartservice,4.8,0.9779,0.0
26,2026-05-27T00:56:59.757092,recommendationservice,nan,0.0,0.0
27,2026-05-27T00:57:29.801914,frontend,92.9,5.3339,0.0
27,2026-05-27T00:57:29.801914,productcatalogservice,4.65,3.2448,0.0
27,2026-05-27T00:57:29.801914,checkoutservice,48.0,0.1778,0.0
27,2026-05-27T00:57:29.801914,cartservice,4.8,0.889,0.0
27,2026-05-27T00:57:29.801914,recommendationservice,nan,0.0,0.0
28,2026-05-27T00:57:59.857268,frontend,93.64,5.6005,0.0
28,2026-05-27T00:57:59.857268,productcatalogservice,4.64,3.0669,0.0
28,2026-05-27T00:57:59.857268,checkoutservice,95.0,0.0889,0.0
28,2026-05-27T00:57:59.857268,cartservice,4.8,0.6667,0.0
28,2026-05-27T00:57:59.857268,recommendationservice,nan,0.0,0.0
29,2026-05-27T00:58:29.903521,frontend,93.02,5.6672,0.0
29,2026-05-27T00:58:29.903521,productcatalogservice,4.63,3.1781,0.0
29,2026-05-27T00:58:29.903521,checkoutservice,95.83,0.2222,0.0
29,2026-05-27T00:58:29.903521,cartservice,4.8,0.9779,0.0
29,2026-05-27T00:58:29.903521,recommendationservice,nan,0.0,0.0
30,2026-05-27T00:58:59.980249,frontend,93.98,5.3562,0.0
30,2026-05-27T00:58:59.980249,productcatalogservice,4.68,3.0448,0.0
30,2026-05-27T00:58:59.980249,checkoutservice,96.25,0.1333,0.0
30,2026-05-27T00:58:59.980249,cartservice,4.8,0.8001,0.0
30,2026-05-27T00:58:59.980249,recommendationservice,nan,0.0,0.0
31,2026-05-27T00:59:30.036693,frontend,94.28,4.956,0.0
31,2026-05-27T00:59:30.036693,productcatalogservice,4.67,3.0225,0.0
31,2026-05-27T00:59:30.036693,checkoutservice,48.75,0.0444,0.0
31,2026-05-27T00:59:30.036693,cartservice,4.8,0.4889,0.0
31,2026-05-27T00:59:30.036693,recommendationservice,nan,0.0,0.0
32,2026-05-27T01:00:00.080920,frontend,94.4,5.1561,0.0
32,2026-05-27T01:00:00.080920,productcatalogservice,4.67,3.3559,0.0
32,2026-05-27T01:00:00.080920,checkoutservice,48.75,0.1778,0.0
32,2026-05-27T01:00:00.080920,cartservice,4.8,0.6223,0.0
32,2026-05-27T01:00:00.080920,recommendationservice,nan,0.0,0.0
33,2026-05-27T01:00:30.140948,frontend,94.38,5.6227,0.0
33,2026-05-27T01:00:30.140948,productcatalogservice,4.65,3.3336,0.0
33,2026-05-27T01:00:30.140948,checkoutservice,96.67,0.1778,0.0
33,2026-05-27T01:00:30.140948,cartservice,4.8,0.7556,0.0
33,2026-05-27T01:00:30.140948,recommendationservice,nan,0.0,0.0
34,2026-05-27T01:01:00.185222,frontend,94.06,5.2449,0.0
34,2026-05-27T01:01:00.185222,productcatalogservice,4.64,2.867,0.0
34,2026-05-27T01:01:00.185222,checkoutservice,96.25,0.2222,0.0
34,2026-05-27T01:01:00.185222,cartservice,4.8,0.8001,0.0
34,2026-05-27T01:01:00.185222,recommendationservice,nan,0.0,0.0
35,2026-05-27T01:01:30.231255,frontend,93.3,4.9339,0.0
35,2026-05-27T01:01:30.231255,productcatalogservice,4.65,2.6891,0.0
35,2026-05-27T01:01:30.231255,checkoutservice,47.5,0.0889,0.0
35,2026-05-27T01:01:30.231255,cartservice,4.8,0.6001,0.0
35,2026-05-27T01:01:30.231255,recommendationservice,nan,0.0,0.0
36,2026-05-27T01:02:00.276398,frontend,92.57,4.3115,0.0
36,2026-05-27T01:02:00.276398,productcatalogservice,4.68,2.5336,0.0
36,2026-05-27T01:02:00.276398,checkoutservice,24.25,0.0444,0.0
36,2026-05-27T01:02:00.276398,cartservice,4.8,0.3556,0.0
36,2026-05-27T01:02:00.276398,recommendationservice,nan,0.0,0.0
37,2026-05-27T01:02:30.362152,frontend,92.99,4.8894,0.0
37,2026-05-27T01:02:30.362152,productcatalogservice,4.65,3.1559,0.0
37,2026-05-27T01:02:30.362152,checkoutservice,48.75,0.1333,0.0
37,2026-05-27T01:02:30.362152,cartservice,4.8,0.7112,0.0
37,2026-05-27T01:02:30.362152,recommendationservice,nan,0.0,0.0
38,2026-05-27T01:03:00.400645,frontend,92.7,4.8227,0.0
38,2026-05-27T01:03:00.400645,productcatalogservice,4.64,2.9336,0.0
38,2026-05-27T01:03:00.400645,checkoutservice,48.75,0.0444,0.0
38,2026-05-27T01:03:00.400645,cartservice,4.8,0.4445,0.0
38,2026-05-27T01:03:00.400645,recommendationservice,nan,0.0,0.0
39,2026-05-27T01:03:30.464938,frontend,92.6,4.7783,0.0
39,2026-05-27T01:03:30.464938,productcatalogservice,4.66,3.2226,0.0
39,2026-05-27T01:03:30.464938,checkoutservice,93.75,0.0889,0.0
39,2026-05-27T01:03:30.464938,cartservice,4.8,0.5778,0.0
39,2026-05-27T01:03:30.464938,recommendationservice,nan,0.0,0.0
40,2026-05-27T01:04:00.550794,frontend,93.34,4.4003,0.0
40,2026-05-27T01:04:00.550794,productcatalogservice,4.58,2.5113,0.0
40,2026-05-27T01:04:00.550794,checkoutservice,92.5,0.0444,0.0
40,2026-05-27T01:04:00.550794,cartservice,4.8,0.4,0.0
40,2026-05-27T01:04:00.550794,recommendationservice,nan,0.0,0.0
41,2026-05-27T01:04:00.933697,frontend,93.34,4.4003,0.0
