cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-28T17:50:44.995021,frontend,67.5,4.556,0.0
1,2026-05-28T17:50:44.995021,productcatalogservice,2.95,24.4904,0.0
1,2026-05-28T17:50:44.995021,checkoutservice,24.25,0.1778,0.0
1,2026-05-28T17:50:44.995021,cartservice,4.79,4.6003,0.0
1,2026-05-28T17:50:44.995021,recommendationservice,4.9,3.267,0.0
2,2026-05-28T17:51:15.083335,frontend,48.27,5.6004,0.0
2,2026-05-28T17:51:15.083335,productcatalogservice,3.41,29.4017,0.0
2,2026-05-28T17:51:15.083335,checkoutservice,24.25,0.2667,0.0
2,2026-05-28T17:51:15.083335,cartservice,4.81,5.4891,0.0
2,2026-05-28T17:51:15.083335,recommendationservice,4.98,3.8669,0.0
3,2026-05-28T17:51:45.237490,frontend,45.05,5.4226,0.0
3,2026-05-28T17:51:45.237490,productcatalogservice,3.38,29.3128,0.0
3,2026-05-28T17:51:45.237490,checkoutservice,45.0,0.1333,0.0
3,2026-05-28T17:51:45.237490,cartservice,4.81,5.1114,0.0
3,2026-05-28T17:51:45.237490,recommendationservice,5.55,3.978,0.0
4,2026-05-28T17:52:15.385713,frontend,47.74,5.4226,0.0
4,2026-05-28T17:52:15.385713,productcatalogservice,3.48,30.6677,0.0
4,2026-05-28T17:52:15.385713,checkoutservice,45.0,0.1778,0.0
4,2026-05-28T17:52:15.385713,cartservice,4.78,5.4447,0.0
4,2026-05-28T17:52:15.385713,recommendationservice,7.02,3.9336,0.0
5,2026-05-28T17:52:45.452453,frontend,47.99,5.1336,0.0
5,2026-05-28T17:52:45.452453,productcatalogservice,3.84,27.779,0.0
5,2026-05-28T17:52:45.452453,checkoutservice,24.25,0.1556,0.0
5,2026-05-28T17:52:45.452453,cartservice,4.79,4.8447,0.0
5,2026-05-28T17:52:45.452453,recommendationservice,7.15,3.8446,0.0
6,2026-05-28T17:53:15.511980,frontend,48.33,4.9562,0.0
6,2026-05-28T17:53:15.511980,productcatalogservice,2.71,30.2255,0.0
6,2026-05-28T17:53:15.511980,checkoutservice,24.25,0.2667,0.0
6,2026-05-28T17:53:15.511980,cartservice,4.79,5.0672,0.0
6,2026-05-28T17:53:15.511980,recommendationservice,4.82,3.8893,0.0
7,2026-05-28T17:53:45.589487,frontend,45.13,5.1782,0.0
7,2026-05-28T17:53:45.589487,productcatalogservice,2.53,26.3339,0.0
7,2026-05-28T17:53:45.589487,checkoutservice,24.25,0.1333,0.0
7,2026-05-28T17:53:45.589487,cartservice,4.79,4.7557,0.0
7,2026-05-28T17:53:45.589487,recommendationservice,4.9,3.6001,0.0
8,2026-05-28T17:54:15.628325,frontend,46.3,5.4003,0.0
8,2026-05-28T17:54:15.628325,productcatalogservice,2.45,29.402,0.0
8,2026-05-28T17:54:15.628325,checkoutservice,24.25,0.1333,0.0
8,2026-05-28T17:54:15.628325,cartservice,4.79,5.1336,0.0
8,2026-05-28T17:54:15.628325,recommendationservice,4.84,4.1113,0.0
9,2026-05-28T17:54:45.681218,frontend,49.69,5.0894,0.0
9,2026-05-28T17:54:45.681218,productcatalogservice,2.96,28.3571,0.0
9,2026-05-28T17:54:45.681218,checkoutservice,46.25,0.1778,0.0
9,2026-05-28T17:54:45.681218,cartservice,4.83,4.9114,0.0
9,2026-05-28T17:54:45.681218,recommendationservice,7.25,3.7558,0.0
10,2026-05-28T17:55:15.722993,frontend,72.5,5.2448,0.0
10,2026-05-28T17:55:15.722993,productcatalogservice,3.1,28.9127,0.0
10,2026-05-28T17:55:15.722993,checkoutservice,46.25,0.1778,0.0
10,2026-05-28T17:55:15.722993,cartservice,4.82,5.1114,0.0
10,2026-05-28T17:55:15.722993,recommendationservice,6.98,3.7557,0.0
11,2026-05-28T17:55:45.834242,frontend,49.7,5.4004,0.0
11,2026-05-28T17:55:45.834242,productcatalogservice,2.79,29.713,0.0
11,2026-05-28T17:55:45.834242,checkoutservice,24.25,0.2222,0.0
11,2026-05-28T17:55:45.834242,cartservice,4.81,5.2003,0.0
11,2026-05-28T17:55:45.834242,recommendationservice,4.89,3.9113,0.0
12,2026-05-28T17:56:15.888181,frontend,80.75,5.3115,0.0
12,2026-05-28T17:56:15.888181,productcatalogservice,2.9,29.5346,0.0
12,2026-05-28T17:56:15.888181,checkoutservice,24.25,0.2445,0.0
12,2026-05-28T17:56:15.888181,cartservice,4.83,5.2447,0.0
12,2026-05-28T17:56:15.888181,recommendationservice,4.82,3.8224,0.0
13,2026-05-28T17:56:45.949735,frontend,48.23,5.667,0.0
13,2026-05-28T17:56:45.949735,productcatalogservice,2.3,33.4233,0.0
13,2026-05-28T17:56:45.949735,checkoutservice,43.75,0.2222,0.0
13,2026-05-28T17:56:45.949735,cartservice,4.8,5.7336,0.0
13,2026-05-28T17:56:45.949735,recommendationservice,4.84,4.3557,0.0
14,2026-05-28T17:57:16.025498,frontend,46.28,5.3337,0.0
14,2026-05-28T17:57:16.025498,productcatalogservice,3.08,31.8677,0.0
14,2026-05-28T17:57:16.025498,checkoutservice,47.5,0.2667,0.0
14,2026-05-28T17:57:16.025498,cartservice,4.83,5.4002,0.0
14,2026-05-28T17:57:16.025498,recommendationservice,4.99,4.1335,0.0
15,2026-05-28T17:57:46.064285,frontend,44.84,5.5115,0.0
15,2026-05-28T17:57:46.064285,productcatalogservice,2.85,31.6463,0.0
15,2026-05-28T17:57:46.064285,checkoutservice,45.62,0.2667,0.0
15,2026-05-28T17:57:46.064285,cartservice,4.82,5.5781,0.0
15,2026-05-28T17:57:46.064285,recommendationservice,4.86,3.978,0.0
16,2026-05-28T17:58:16.113022,frontend,45.71,5.2448,0.0
16,2026-05-28T17:58:16.113022,productcatalogservice,2.01,26.0012,0.0
16,2026-05-28T17:58:16.113022,checkoutservice,24.25,0.1333,0.0
16,2026-05-28T17:58:16.113022,cartservice,4.81,4.9336,0.0
16,2026-05-28T17:58:16.113022,recommendationservice,4.8,3.3335,0.0
17,2026-05-28T17:58:46.146853,frontend,56.5,4.9113,0.0
17,2026-05-28T17:58:46.146853,productcatalogservice,2.75,26.7784,0.0
17,2026-05-28T17:58:46.146853,checkoutservice,24.25,0.0889,0.0
17,2026-05-28T17:58:46.146853,cartservice,4.93,4.5779,0.0
17,2026-05-28T17:58:46.146853,recommendationservice,4.87,3.5334,0.0
18,2026-05-28T17:59:16.187894,frontend,41.74,5.4671,0.0
18,2026-05-28T17:59:16.187894,productcatalogservice,1.86,29.5791,0.0
18,2026-05-28T17:59:16.187894,checkoutservice,24.25,0.1778,0.0
18,2026-05-28T17:59:16.187894,cartservice,4.8,5.2447,0.0
18,2026-05-28T17:59:16.187894,recommendationservice,4.8,3.9336,0.0
19,2026-05-28T17:59:46.281682,frontend,43.52,5.4004,0.0
19,2026-05-28T17:59:46.281682,productcatalogservice,2.67,29.7791,0.0
19,2026-05-28T17:59:46.281682,checkoutservice,24.25,0.2222,0.0
19,2026-05-28T17:59:46.281682,cartservice,4.8,5.2891,0.0
19,2026-05-28T17:59:46.281682,recommendationservice,4.94,3.6446,0.0
20,2026-05-28T18:00:16.322192,frontend,45.43,5.7336,0.0
20,2026-05-28T18:00:16.322192,productcatalogservice,2.97,30.7563,0.0
