cycle,timestamp,phase,service,from_replicas,to_replicas,direction
42,2026-05-29T01:13:07.519844,FAULT_INJECTION,recommendationservice,1,5,SCALE_UP
36,2026-05-29T01:13:16.793821,BASELINE,recommendationservice,1,5,SCALE_UP
56,2026-05-29T01:20:24.314762,FAULT_INJECTION,frontend,1,5,SCALE_UP
56,2026-05-29T01:20:24.314762,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
56,2026-05-29T01:20:24.314762,FAULT_INJECTION,checkoutservice,1,5,SCALE_UP
51,2026-05-29T01:20:35.016422,FAULT_INJECTION,frontend,1,5,SCALE_UP
51,2026-05-29T01:20:35.016422,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
51,2026-05-29T01:20:35.016422,FAULT_INJECTION,checkoutservice,1,5,SCALE_UP
68,2026-05-29T01:28:54.225043,RECOVERY,frontend,5,1,SCALE_DOWN
68,2026-05-29T01:28:54.225043,RECOVERY,productcatalogservice,5,1,SCALE_DOWN
68,2026-05-29T01:28:54.225043,RECOVERY,checkoutservice,5,1,SCALE_DOWN
68,2026-05-29T01:28:54.225043,RECOVERY,recommendationservice,5,1,SCALE_DOWN
