cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
1,2026-05-29T02:32:11.903998,BASELINE,frontend,48.8,5.6006,0.0,1
1,2026-05-29T02:32:11.903998,BASELINE,productcatalogservice,3.18,31.0027,0.0,1
1,2026-05-29T02:32:11.903998,BASELINE,checkoutservice,42.5,0.2667,0.0,1
1,2026-05-29T02:32:11.903998,BASELINE,cartservice,4.84,5.4449,0.0,1
1,2026-05-29T02:32:11.903998,BASELINE,recommendationservice,4.9,4.0448,0.0,1
33,2026-05-29T02:32:12.167362,BASELINE,frontend,48.8,5.6006,0.0,1
33,2026-05-29T02:32:12.167362,BASELINE,productcatalogservice,3.18,31.0027,0.0,1
33,2026-05-29T02:32:12.167362,BASELINE,checkoutservice,42.5,0.2667,0.0,1
33,2026-05-29T02:32:12.167362,BASELINE,cartservice,4.84,5.4449,0.0,1
33,2026-05-29T02:32:12.167362,BASELINE,recommendationservice,4.9,4.0448,0.0,1
46,2026-05-29T02:32:36.138675,FAULT_INJECTION,frontend,47.89,6.1115,0.0,1
46,2026-05-29T02:32:36.138675,FAULT_INJECTION,productcatalogservice,3.4,32.5342,0.0,1
46,2026-05-29T02:32:36.138675,FAULT_INJECTION,checkoutservice,42.5,0.3111,0.0,1
46,2026-05-29T02:32:36.138675,FAULT_INJECTION,cartservice,4.84,5.9558,0.0,1
46,2026-05-29T02:32:36.138675,FAULT_INJECTION,recommendationservice,4.94,4.4669,0.0,1
2,2026-05-29T02:32:43.079961,BASELINE,frontend,47.78,5.9339,0.0,1
2,2026-05-29T02:32:43.079961,BASELINE,productcatalogservice,3.59,30.7583,0.0,1
2,2026-05-29T02:32:43.079961,BASELINE,checkoutservice,41.25,0.3111,0.0,1
2,2026-05-29T02:32:43.079961,BASELINE,cartservice,4.84,5.5338,0.0,1
2,2026-05-29T02:32:43.079961,BASELINE,recommendationservice,4.96,4.2893,0.0,1
34,2026-05-29T02:32:43.329841,BASELINE,frontend,47.78,5.9339,0.0,1
34,2026-05-29T02:32:43.329841,BASELINE,productcatalogservice,3.59,30.7583,0.0,1
34,2026-05-29T02:32:43.329841,BASELINE,checkoutservice,41.25,0.3111,0.0,1
34,2026-05-29T02:32:43.329841,BASELINE,cartservice,4.84,5.5338,0.0,1
34,2026-05-29T02:32:43.329841,BASELINE,recommendationservice,4.96,4.2893,0.0,1
47,2026-05-29T02:33:07.326178,FAULT_INJECTION,frontend,47.42,5.2669,0.0,1
47,2026-05-29T02:33:07.326178,FAULT_INJECTION,productcatalogservice,3.82,27.4013,0.0,1
47,2026-05-29T02:33:07.326178,FAULT_INJECTION,checkoutservice,24.25,0.3111,0.0,1
47,2026-05-29T02:33:07.326178,FAULT_INJECTION,cartservice,4.86,5.178,0.0,1
47,2026-05-29T02:33:07.326178,FAULT_INJECTION,recommendationservice,5.44,3.6669,0.0,1
3,2026-05-29T02:33:14.196663,BASELINE,frontend,47.11,5.1115,0.0,1
3,2026-05-29T02:33:14.196663,BASELINE,productcatalogservice,3.86,25.8909,0.0,1
3,2026-05-29T02:33:14.196663,BASELINE,checkoutservice,24.25,0.1778,0.0,1
3,2026-05-29T02:33:14.196663,BASELINE,cartservice,4.87,4.5781,0.0,1
3,2026-05-29T02:33:14.196663,BASELINE,recommendationservice,5.75,3.4003,0.0,1
35,2026-05-29T02:33:14.440424,BASELINE,frontend,47.11,5.1115,0.0,1
35,2026-05-29T02:33:14.440424,BASELINE,productcatalogservice,3.86,25.8909,0.0,1
35,2026-05-29T02:33:14.440424,BASELINE,checkoutservice,24.25,0.1778,0.0,1
35,2026-05-29T02:33:14.440424,BASELINE,cartservice,4.87,4.5781,0.0,1
35,2026-05-29T02:33:14.440424,BASELINE,recommendationservice,5.75,3.4003,0.0,1
48,2026-05-29T02:33:38.442897,FAULT_INJECTION,frontend,47.5,5.0226,0.0,1
48,2026-05-29T02:33:38.442897,FAULT_INJECTION,productcatalogservice,3.61,27.1798,0.0,1
48,2026-05-29T02:33:38.442897,FAULT_INJECTION,checkoutservice,24.25,0.1778,0.0,1
48,2026-05-29T02:33:38.442897,FAULT_INJECTION,cartservice,4.87,4.5779,0.0,1
48,2026-05-29T02:33:38.442897,FAULT_INJECTION,recommendationservice,5.69,3.578,0.0,1
4,2026-05-29T02:33:45.354734,BASELINE,frontend,47.54,5.1784,0.0,1
4,2026-05-29T02:33:45.354734,BASELINE,productcatalogservice,3.25,28.4253,0.0,1
4,2026-05-29T02:33:45.354734,BASELINE,checkoutservice,42.5,0.2667,0.0,1
4,2026-05-29T02:33:45.354734,BASELINE,cartservice,4.79,5.0895,0.0,1
4,2026-05-29T02:33:45.354734,BASELINE,recommendationservice,4.94,3.9115,0.0,1
36,2026-05-29T02:33:45.611819,BASELINE,frontend,47.54,5.1784,0.0,1
36,2026-05-29T02:33:45.611819,BASELINE,productcatalogservice,3.25,28.4253,0.0,1
36,2026-05-29T02:33:45.611819,BASELINE,checkoutservice,42.5,0.2667,0.0,1
36,2026-05-29T02:33:45.611819,BASELINE,cartservice,4.79,5.0895,0.0,1
36,2026-05-29T02:33:45.611819,BASELINE,recommendationservice,4.94,3.9115,0.0,1
49,2026-05-29T02:34:09.536198,FAULT_INJECTION,frontend,47.63,5.4674,0.0,1
49,2026-05-29T02:34:09.536198,FAULT_INJECTION,productcatalogservice,3.41,31.96,0.0,1
